survey,variable,label,n_climatology,n_gaussian,pooled_crps_climatology,pooled_crps_gaussian,benchmark_crps_climatology,benchmark_crps_gaussian,skill_ratio_of_means_climatology,skill_ratio_of_means_gaussian,mean_row_skill_climatology,mean_row_skill_gaussian,n_scored,gain_pct,skill_pct_climatology,row_skill_pct_climatology,skill_pct_gaussian,row_skill_pct_gaussian
ecb,hicp,ECB HICP,471.0,474.0,0.883259517296919,0.8663810328839595,1.0650103286175483,0.8663294955602642,0.1706563837334361,-5.948928665078235e-05,0.1660648129500849,0.00553131405884,575,5.778544036848443,17.06563837334361,16.60648129500849,-0.005948928665078235,0.553131405884
ecb,hicpx,ECB core HICP,176.0,80.0,0.7707137801774089,0.7236331367364033,1.1632484314304004,0.7929304957418637,0.3374469637326802,0.0873939889783479,0.2062694776714138,0.0835650302106996,176,7.392249427305009,33.74469637326802,20.62694776714138,8.73939889783479,8.35650302106996
ecb,rgdp,ECB real GDP,489.0,480.0,1.1508372645220226,1.1282293905914755,1.4367488163288773,1.141504561521386,0.1989989819775208,0.0116295382229724,0.1657121055656099,0.1716094343042738,579,5.715496537201458,19.89989819775208,16.571210556560988,1.16295382229724,17.16094343042738
ecb,unemp,ECB unemployment,415.0,473.0,0.5535006070459416,0.6261901318302444,1.3022554535514312,0.6300459114850515,0.574967718095195,0.0061198391807968,0.2729779695004386,0.0378904182327863,574,12.534644977169629,57.4967718095195,27.29779695004386,0.61198391807968,3.78904182327863
us,PRCCPI,US core CPI,140.0,112.0,0.4688557400873908,0.515058547093303,0.9327720329757055,0.5335032952935835,0.4973522752481556,0.0345728852342523,0.575732176758878,-0.0413262526626989,140,15.009394980937763,49.73522752481556,57.5732176758878,3.4572885234252304,-4.13262526626989
us,PRCPCE,US core PCE,148.0,120.0,0.4371557788610901,0.4627009024455846,0.8552953881408312,0.4767964804575374,0.4888832736356238,0.0295630915698593,0.5594912211102188,-0.0260938404766513,148,14.670981482915401,48.888327363562375,55.94912211102188,2.9563091569859297,-2.60938404766513
us,PRGDP,US real GDP,382.0,312.0,0.745244057654188,0.8071232161163459,1.2126522913720843,0.8609600153637762,0.3854429147113853,0.0625311260531454,0.4122065282137172,0.0552498997582658,382,10.86402301838355,38.54429147113853,41.22065282137172,6.25311260531454,5.52498997582658
us,PRPGDP,US GDP prices,268.0,240.0,0.4738127718033965,0.4771153188459865,0.8810920730915316,0.4728668779522775,0.4622437469663004,-0.0089844332343738,0.536246728778659,-0.0643293955053462,268,14.516936408760362,46.224374696630036,53.6246728778659,-0.89844332343738,-6.432939550534621
us,PRUNEMP,US unemployment,228.0,160.0,0.6318192091345443,0.6704784506057242,1.152970396619451,0.7213257342359921,0.4520074314249006,0.0704914315640269,0.2251849432241437,-0.0256580594361357,228,12.746775644599362,45.200743142490055,22.51849432241437,7.04914315640269,-2.56580594361357
