survey,variable,label,horizon_class,n,pooled_crps,individual_crps,gain,gain_pct,rows_pooled_better
ecb,hicp,ECB HICP,current_year,108,0.31260007682521795,0.34418320354590387,0.03158312672068592,9.176254504956882,108
ecb,hicp,ECB HICP,longer_term,87,0.9598861656795985,1.0009868183288553,0.041100652649256775,4.106013375668038,87
ecb,hicp,ECB HICP,next_year,104,0.7634005855026254,0.8155756807469369,0.05217509524431152,6.397333377636705,104
ecb,hicp,ECB HICP,rolling_1y,105,0.8006621875706695,0.8648653186901074,0.06420313111943787,7.423483140320341,105
ecb,hicp,ECB HICP,rolling_2y,101,0.9319173011900467,0.9843794300202746,0.05246212883022794,5.329462119007033,101
ecb,hicp,ECB HICP,year_after_next,70,1.056047457278149,1.1065045965638538,0.05045713928570472,4.560047869877327,70
ecb,hicpx,ECB core HICP,current_year,36,0.2085653444862594,0.25264918135621456,0.04408383686995515,17.448636339652555,36
ecb,hicpx,ECB core HICP,longer_term,18,1.3915248676792582,1.4428674855128185,0.05134261783356031,3.558373748737731,18
ecb,hicpx,ECB core HICP,next_year,32,0.7011170688197496,0.7640572555898673,0.0629401867701177,8.237626998454017,32
ecb,hicpx,ECB core HICP,rolling_1y,33,0.7017368615758884,0.781465643456781,0.07972878188089261,10.202467958567652,33
ecb,hicpx,ECB core HICP,rolling_2y,29,1.0527579631246238,1.1236395163323392,0.07088155320771539,6.308211145784471,29
ecb,hicpx,ECB core HICP,year_after_next,28,1.0244402936604808,1.090164806321256,0.06572451266077506,6.028860249356372,28
ecb,rgdp,ECB real GDP,current_year,108,0.5198689401553733,0.569519947490521,0.04965100733514771,8.718045356255777,108
ecb,rgdp,ECB real GDP,longer_term,87,1.3856815068349224,1.4362044424659177,0.0505229356309953,3.517809452270526,87
ecb,rgdp,ECB real GDP,next_year,104,1.1574127291186025,1.2273391587623381,0.06992642964373563,5.6974006854185415,104
ecb,rgdp,ECB real GDP,rolling_1y,107,0.9609445260692601,1.061963069022836,0.10101854295357604,9.512434650531498,107
ecb,rgdp,ECB real GDP,rolling_2y,103,1.3937103286371428,1.4669763071840292,0.07326597854688632,4.994353227662273,103
ecb,rgdp,ECB real GDP,year_after_next,70,1.4244740132889369,1.4849161740563608,0.060442160767423925,4.070408944520654,70
ecb,unemp,ECB unemployment,current_year,104,0.21387276165715832,0.26254148036696046,0.04866871870980213,18.53753496086664,104
ecb,unemp,ECB unemployment,longer_term,87,1.3359281694996326,1.4925975636582225,0.15666939415858994,10.496425692576327,87
ecb,unemp,ECB unemployment,next_year,104,0.4806067084084407,0.5555800875216985,0.0749733791132578,13.494612351514423,104
ecb,unemp,ECB unemployment,rolling_1y,106,0.411428854007879,0.4807548326652532,0.06932597865737422,14.420235418755635,106
ecb,unemp,ECB unemployment,rolling_2y,103,0.7375573612726873,0.8393423205751331,0.1017849593024458,12.1267517206449,103
ecb,unemp,ECB unemployment,year_after_next,70,0.6918373150750354,0.798679368422141,0.10684205334710561,13.377339840164037,70
us,PRCCPI,US core CPI,current_year,72,0.3671661054716583,0.4481716926495658,0.08100558717790751,18.074677295883422,72
us,PRCCPI,US core CPI,next_year,68,0.5843727887625269,0.6724326312226916,0.08805984246016474,13.09571225002043,68
us,PRCPCE,US core PCE,current_year,76,0.3252682532726766,0.4000614438393521,0.0747931905666755,18.695425844813307,76
us,PRCPCE,US core PCE,next_year,72,0.5530058440190032,0.6320282430161366,0.07902239899713337,12.502985407744793,72
us,PRGDP,US real GDP,current_year,136,0.5154145984249301,0.592787421317793,0.07737282289286296,13.052372589293427,136
us,PRGDP,US real GDP,next_year,132,0.9016486799033635,1.0061881254725862,0.10453944556922268,10.389652086196365,132
us,PRGDP,US real GDP,three_years_ahead,55,0.8577044569432901,0.949673992851895,0.0919695359086049,9.684327106022783,55
us,PRGDP,US real GDP,year_after_next,59,0.8497155855208004,0.9483181218343296,0.09860253631352922,10.397622279199147,59
us,PRPGDP,US GDP prices,current_year,136,0.3475746946521715,0.4214218404234168,0.07384714577124529,17.52333141942728,136
us,PRPGDP,US GDP prices,next_year,132,0.5956062090905954,0.6860982490008363,0.0904920399102409,13.189370478940054,132
us,PRUNEMP,US unemployment,current_year,63,0.2353493122200089,0.284755551381548,0.049406239161539106,17.350404205233204,63
us,PRUNEMP,US unemployment,next_year,59,0.6150967596148061,0.6992706061321822,0.08417384651737603,12.037378059255188,59
us,PRUNEMP,US unemployment,three_years_ahead,51,0.8957238848881769,1.0295849035022513,0.1338610186140744,13.001455067836643,51
us,PRUNEMP,US unemployment,year_after_next,55,0.794054263695012,0.9062897591380287,0.1122354954430167,12.38406307821064,55
