survey,variable,label,window,total_sd_q1,n_q1,total_sd_q2,n_q2,total_sd_q3,n_q3,total_sd_q4,n_q4,pct_change_q1_q4
ecb,hicp,ECB HICP,2010–2019,0.6013802925284025,10,0.5617562215890599,10,0.4936185304150113,10,0.4222386032855196,10,-29.788420317152685
ecb,hicpx,ECB core HICP,2010–2019,0.5265446018007122,3,0.49390342825371586,3,0.4700808918689625,3,0.40626395751987215,3,-22.843391399227396
ecb,rgdp,ECB real GDP,2010–2019,0.6614551141683966,10,0.6139245482276542,10,0.5536924595173877,10,0.46444436146720014,10,-29.784447724602593
ecb,unemp,ECB unemployment,2010–2019,0.6390329750813522,10,0.5953631454703123,10,0.5490988829741357,10,0.49286686060040913,10,-22.87301597579301
us,PRCCPI,US core CPI,2010–2019,0.621880172242176,10,0.5868796332228171,10,0.5297139735432339,10,0.46060369622092906,10,-25.933689996863528
us,PRCPCE,US core PCE,2010–2019,0.6052363188273655,10,0.5612284273981257,10,0.5415899814880241,10,0.46787976440678725,10,-22.69469794653172
us,PRGDP,US real GDP,2010–2019,1.12302854505903,10,1.0098403348194567,10,0.893012446100499,10,0.7270988932123619,10,-35.25552877428034
us,PRPGDP,US GDP prices,2010–2019,0.7434990322869623,10,0.7021095738892458,10,0.6649468146818852,10,0.5547986583671313,10,-25.38004297589992
us,PRUNEMP,US unemployment,2010–2019,0.6022937139607754,10,0.5482672984753366,10,0.47857973877873505,10,0.3938233520006107,10,-34.61274078210642
