survey,variable,label,basis,first_year,last_year,n_years,value_first_year,mean_full,mean_through_2020,mean_2010_2019,mean_2020_2024,peak_value,peak_year,value_2026,pct_2026_vs_through_2020,pct_2020_2024_vs_2010_2019
ecb,hicp,ECB HICP,annual mean of quarterly rolling 1y,1999,2026,28,0.5058646672806687,0.6985827920925758,0.6242506066705502,0.6904974207339667,0.9732043268988088,1.2227497135554704,2023,0.9218209380792812,47.66840884557995,40.942499953777926
ecb,hicpx,ECB core HICP,annual mean of quarterly rolling 1y,2017,2026,10,0.5859066049915055,0.7408433199835901,0.6034976993060712,0.572580232908531,0.8455842517885573,1.0770398285904488,2023,0.7207526000181074,19.429220831638805,47.67960945721968
ecb,rgdp,ECB real GDP,annual mean of quarterly rolling 1y,1999,2026,28,0.5606020339461188,0.8548691082344455,0.7682025060589788,0.7420825092118488,1.5954048264097942,2.6260744488722585,2020,0.8001933324663293,4.164374127268777,114.99022098017674
ecb,unemp,ECB unemployment,annual mean of quarterly rolling 1y,1999,2026,28,0.49824208504612494,0.6914906692111039,0.6563692828256591,0.7126254088651203,0.9459817141012741,1.2822673686875548,2020,0.7102236688637863,8.204891278014248,32.74599843524826
us,PRCCPI,US core CPI,Q1 next calendar year,2007,2026,20,0.5890253865904379,0.7272190789334073,0.7006261209006264,0.6945640958785986,0.8084629504221501,0.9811952793038998,2022,0.6509550662402812,-7.08952366727279,16.39860960556472
us,PRCPCE,US core PCE,Q1 next calendar year,2007,2026,20,0.5805193045830362,0.6911659666620715,0.6726953092464604,0.6674149508435552,0.7483374391598672,1.0019181147602156,2022,0.627895139122237,-6.65980117720868,12.124764093766993
us,PRGDP,US real GDP,Q1 next calendar year,1992,2026,35,1.2671874475431346,1.3709862387968943,1.2874469259824033,1.2812801130061189,1.8035420504308948,2.184539278459158,2021,1.409766297186996,9.500925338048805,40.76094931337484
us,PRPGDP,US GDP prices,Q1 next calendar year,1992,2026,35,1.062000743046488,0.9524633634001842,0.9921882273352587,0.8323483975444882,0.7716238847342038,1.2995469124692396,2008,0.6671496524597164,-32.75976935833087,-7.295564332126759
us,PRUNEMP,US unemployment,Q1 next calendar year,2010,2026,17,0.8845443951448954,0.8274444675627256,0.7616209924830709,0.7625524738564283,1.013590368960972,1.2272826147899778,2021,0.6149889641307492,-19.252624310454646,32.92073709170191
