convention,statistic,value
contiguous,us_q1_total_sd_2010_26_year_plus_1,1.4530722205114743
literal,us_q1_total_sd_2010_26_year_plus_1,1.4461492241186515
midpoint,us_q1_total_sd_2010_26_year_plus_1,1.452482737895206
contiguous,us_q1_total_sd_2010_26_year_plus_2,1.5180048181430208
literal,us_q1_total_sd_2010_26_year_plus_2,1.5113661690726379
midpoint,us_q1_total_sd_2010_26_year_plus_2,1.5171904336534885
contiguous,us_q1_total_sd_2010_26_year_plus_3,1.5219520893442198
literal,us_q1_total_sd_2010_26_year_plus_3,1.5153193899603679
midpoint,us_q1_total_sd_2010_26_year_plus_3,1.521169420174189
contiguous,us_real_gdp_median_between_share,0.15302995746741355
literal,us_real_gdp_median_between_share,0.15474296359272816
midpoint,us_real_gdp_median_between_share,0.15310033869340806
