series,rounds,window,n_years,n_round_targets,mean,within_sd,disagreement,total_sd,iqr,q95,threshold,probability_lower,probability_upper
US three years ahead,all (equal year weight),2015–19,5,20,1.9819723226904902,1.3119732125382386,0.5138405383398477,1.4118896887884003,1.6517317864626897,4.1519205223459466,10.0,0.0,0.004335392285223855
US three years ahead,all (equal year weight),2020–24,5,20,2.0129651628271312,1.7551944229972716,0.6119399924505602,1.8653205975253937,1.6736189456678414,4.80747317948339,3.0,0.07559715051545197,0.32164833461932163
US three years ahead,all (equal year weight),2020–24,5,20,2.0129651628271312,1.7551944229972716,0.6119399924505602,1.8653205975253937,1.6736189456678414,4.80747317948339,4.0,0.07169820314703093,0.07169820314703093
US three years ahead,all (equal year weight),2020–24,5,20,2.0129651628271312,1.7551944229972716,0.6119399924505602,1.8653205975253937,1.6736189456678414,4.80747317948339,5.0,0.009884849476292815,0.07056399262071514
US three years ahead,all (equal year weight),2020–24,5,20,2.0129651628271312,1.7551944229972716,0.6119399924505602,1.8653205975253937,1.6736189456678414,4.80747317948339,10.0,0.0009030307587149561,0.0010843340168603163
US three years ahead,all (equal year weight),2025–26,2,7,1.8841531110886756,1.4074471567694695,0.35245453018667516,1.4511868887704056,1.5224323741907413,4.002046558013072,3.0,0.04650832636081845,0.27521069019392974
US three years ahead,all (equal year weight),2025–26,2,7,1.8841531110886756,1.4074471567694695,0.35245453018667516,1.4511868887704056,1.5224323741907413,4.002046558013072,4.0,0.04650832636081845,0.04650832636081845
US three years ahead,all (equal year weight),2025–26,2,7,1.8841531110886756,1.4074471567694695,0.35245453018667516,1.4511868887704056,1.5224323741907413,4.002046558013072,5.0,0.0058405601545635545,0.04650832636081845
US three years ahead,all (equal year weight),2025–26,2,7,1.8841531110886756,1.4074471567694695,0.35245453018667516,1.4511868887704056,1.5224323741907413,4.002046558013072,10.0,0.0,0.00019133193425534414
US three years ahead,all (equal year weight),2010–19,10,40,2.3629647507138434,1.2957501195353984,0.5415106815230957,1.407864138379432,1.642628047352383,4.54285873023338,3.0,0.3122610785751537,0.3122610785751537
US three years ahead,all (equal year weight),2010–19,10,40,2.3629647507138434,1.2957501195353984,0.5415106815230957,1.407864138379432,1.642628047352383,4.54285873023338,4.0,0.10260581557476359,0.10260581557476359
US three years ahead,all (equal year weight),2010–19,10,40,2.3629647507138434,1.2957501195353984,0.5415106815230957,1.407864138379432,1.642628047352383,4.54285873023338,5.0,0.028689399843681934,0.028689399843681934
